client_id,samples,positives,negatives,positive_ratio,negative_ratio,label_entropy
133,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
134,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
135,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
136,11,0,11,0.0,1.0,0.0
137,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
138,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
139,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
140,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
141,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
142,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
143,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
144,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
145,11,0,11,0.0,1.0,0.0
146,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
147,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
148,11,0,11,0.0,1.0,0.0
149,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
150,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
151,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
152,11,0,11,0.0,1.0,0.0
153,11,0,11,0.0,1.0,0.0
154,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
155,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
156,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
157,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
158,11,0,11,0.0,1.0,0.0
159,11,0,11,0.0,1.0,0.0
160,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
161,11,0,11,0.0,1.0,0.0
162,11,0,11,0.0,1.0,0.0
163,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
164,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
165,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
166,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
167,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
168,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
169,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
