strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
FedProx,32,2,80,1,80,0.38569641433947344,80,0.99,0.3818394501960787,62,0.38200516791960343,18,70,80,11,11,True,,0.3850015869863125,0.00014542993813126785,0.0014542993813126404,0.00048546149381457763,0.38569641433947344
FedProx,32,3,80,1,80,0.39537892238519146,80,0.99,0.39142513316133953,22,0.39169394310810246,58,70,80,11,11,True,,0.39501623537459013,8.116503014186765e-05,0.0008116503014187204,0.00027065345801406557,0.39537892238519146
FedProx,32,4,80,1,80,0.38952198359992046,80,0.99,0.38562676376392124,57,0.3858099029401735,23,70,80,11,11,True,,0.38909855584907543,9.886399836432858e-05,0.0009886399836432913,0.0003319295672215302,0.38952198359992046
FedProx,32,5,80,1,80,0.3839291322393086,80,0.99,0.3800898409169155,59,0.3803027160138197,21,70,80,11,11,True,,0.3833618055475523,0.00012011515851350431,0.001201151585135063,0.0004001722773319909,0.3839291322393086
FedProx,64,1,80,1,80,0.3939595696884104,80,0.99,0.39001997399152627,55,0.39013593530241875,25,70,80,11,11,True,,0.39357397508301,8.176258919092048e-05,0.0008176258919092017,0.00027331779928526013,0.3939595696884104
FedProx,64,2,80,1,80,0.3890866325511925,80,0.99,0.3851957662256806,62,0.38545015158815377,18,70,80,11,11,True,,0.3884555592439746,0.00013226752783744987,0.0013226752783744855,0.0004399651240096045,0.3890866325511925
FedProx,64,3,80,1,80,0.38981566872956785,80,0.99,0.38591751204227215,61,0.3860703463424349,19,70,80,11,11,True,,0.389147026075263,0.00014850375382574577,0.001485037538257461,0.0004961565449168844,0.38981566872956785
FedProx,64,4,80,1,80,0.38283878675961713,80,0.99,0.379010398892021,63,0.37927743835002486,17,70,80,11,11,True,,0.38213817364837016,0.00015605662015891016,0.0015605662015890642,0.0005223589340259747,0.38283878675961713
FedProx,64,5,80,1,80,0.3922716183277481,80,0.99,0.3883489021444706,60,0.3888657182965161,20,70,80,11,11,True,,0.39171700725585984,0.00011717290196929375,0.0011717290196929242,0.00039020514228287366,0.3922716183277481
FedProx,128,1,80,1,80,0.38766261045925776,80,0.99,0.38378598435466516,60,0.3839999449884296,20,70,80,11,11,True,,0.3870831817553086,0.00012734287480230892,0.0012734287480230533,0.0004251581722346428,0.38766261045925776
FedProx,128,2,80,1,80,0.38978504389690793,80,0.99,0.38588719345793887,57,0.38599840154538595,23,70,80,11,11,True,,0.38932445566787593,0.00010289492751099666,0.001028949275109936,0.0003436259978147814,0.38978504389690793
FedProx,128,3,80,1,80,0.3931392879314652,80,0.99,0.38920789505215053,52,0.3892799335692359,28,70,80,11,11,True,,0.39278347858883866,7.755198220342432e-05,0.0007755198220342208,0.00025984841238543637,0.3931392879314652
FedProx,128,4,80,1,80,0.3948631577478567,80,0.99,0.39091452617037814,52,0.3911100358565971,28,70,80,11,11,True,,0.39453357869884526,7.401372378276556e-05,0.000740137237827676,0.00024946718623537225,0.3948631577478567
FedProx,128,5,80,1,80,0.39026052881396317,80,0.99,0.38635792352582354,58,0.3863929072337063,22,70,80,11,11,True,,0.3897315364721278,0.00011644113964676906,0.0011644113964676683,0.00038908489779274004,0.39026052881396317
FedProx,256,1,80,1,80,0.3953144229753979,80,0.99,0.39136127874564397,61,0.39141412067021325,19,70,80,11,11,True,,0.39474797165695,0.00012831716083247914,0.0012831716083248068,0.0004298882777423161,0.3953144229753979
FedProx,256,2,80,1,80,0.3848555122207955,80,0.99,0.38100695709858756,61,0.3812753082064358,19,70,80,11,11,True,,0.3843029807107875,0.00012057200896969795,0.0012057200896969933,0.0004023178298741478,0.3848555122207955
FedProx,256,3,80,1,80,0.3853267774943458,80,0.99,0.38147350971940236,61,0.3818656565234127,19,70,80,11,11,True,,0.3847596652005476,0.00012883759797351546,0.0012883759797351346,0.00043211792077271907,0.3853267774943458
FedProx,256,4,80,1,80,0.3927438439169982,80,0.99,0.3888164054778282,20,0.39166900027655294,60,70,80,11,11,True,,0.39247017954807534,6.762147593741422e-05,0.0006762147593741274,0.00023475879426229393,0.3927438439169982
FedProx,256,5,80,1,80,0.3951150788546672,80,0.99,0.3911639280661205,49,0.3911722082042413,31,70,80,11,11,True,,0.3946936492686831,9.032928729421405e-05,0.000903292872942163,0.000301244649854059,0.3951150788546672
FedProx,512,1,80,1,80,0.3994530477205907,80,0.99,0.39545851724338477,56,0.39590291814198564,24,70,80,11,11,True,,0.39903215612637194,8.600450128252969e-05,0.0008600450128253279,0.0002864167588729569,0.3994530477205907
FedProx,512,2,80,1,80,0.39195391492930964,80,0.99,0.38803437578001654,57,0.3883760113650742,23,70,80,11,11,True,,0.39153231980585407,9.812405445762825e-05,0.0009812405445762673,0.00032994579285493275,0.39195391492930964
FedProx,512,3,80,1,80,0.3907313155692133,80,0.99,0.38682400241352116,60,0.3870695228358083,20,70,80,11,11,True,,0.39011962114883736,0.000128222291821914,0.0012822229182191114,0.0004277834421460825,0.3907313155692133
FedProx,512,4,80,1,80,0.3850947232953914,80,0.99,0.3812437760624375,64,0.3813883845266912,16,70,80,11,11,True,,0.3842534175334029,0.0001842175502007532,0.001842175502007548,0.000614354005800643,0.3850947232953914
FedProx,512,5,80,1,80,0.3945304371197761,80,0.99,0.3905851327485783,57,0.3906793754601971,23,70,80,11,11,True,,0.3940395697626611,0.00011280984827321129,0.0011280984827320983,0.00037688120447447026,0.3945304371197761
FedProx,1024,1,80,1,80,0.39114675679392347,80,0.99,0.3872352892259842,61,0.3874514737651234,19,70,80,11,11,True,,0.39050439713856283,0.00013609959716015922,0.0013609959716016085,0.00045271370305777025,0.39114675679392347
FedProx,1024,2,80,1,80,0.3953100014120921,80,0.99,0.3913569013979712,57,0.39158120295965454,23,70,80,11,11,True,,0.39484687542907737,0.00010154160128269385,0.001015416012826953,0.00033750656564063676,0.3953100014120921
FedProx,1024,3,80,1,80,0.39331597348706504,80,0.99,0.3893828137521944,61,0.38984514293640654,19,70,80,11,11,True,,0.3927589720422782,0.0001261950505535778,0.0012619505055357916,0.0004224115912919043,0.39331597348706504
FedProx,1024,4,80,1,80,0.3983665472272192,80,0.99,0.394382881754947,56,0.3946126449896198,24,70,80,11,11,True,,0.39792609491683373,0.00010151520676408076,0.001015152067640801,0.000339268404918385,0.3983665472272192
FedProx,1024,5,80,1,80,0.3988503542868803,80,0.99,0.39486185074401153,49,0.39489987249464836,31,70,80,11,11,True,,0.398514305181773,7.147577132515883e-05,0.0007147577132515792,0.00023759380396412742,0.3988503542868803
FedProx,2048,1,80,1,80,0.3939299800343866,80,0.99,0.38999068023404276,58,0.3902136497913673,22,70,80,11,11,True,,0.3933795202408591,0.00011402049430993766,0.0011402049430993544,0.000380072083885417,0.3939299800343866
FedProx,2048,2,80,1,80,0.3927592697887154,80,0.99,0.3888316770908282,60,0.38892439729216177,20,70,80,11,11,True,,0.39226487837737145,0.00010519987167228548,0.0010519987167228462,0.0003497927435749407,0.3927592697887154
FedProx,2048,3,80,1,80,0.3854682266645815,80,0.99,0.3816135443979357,61,0.38173877564235026,19,70,80,11,11,True,,0.38489291709370405,0.00013439443094720354,0.001343944309472045,0.0004525321227080325,0.3854682266645815
FedProx,2048,4,80,1,80,0.3882001397837702,80,0.99,0.3843181383859325,61,0.3847217396850483,19,70,80,11,11,True,,0.3876426047610927,0.00011971061983094933,0.0011971061983094833,0.0003979416854294151,0.3882001397837702
FedProx,2048,5,80,1,80,0.3923167545637069,80,0.99,0.3883935870180698,59,0.38884242197461505,21,70,80,11,11,True,,0.3918365777243787,0.00010005126082564115,0.0010005126082563987,0.0003333733689069164,0.3923167545637069
FedProx,4096,1,80,1,80,0.39460841904893124,80,0.99,0.39066233485844193,56,0.39082290926555485,24,70,80,11,11,True,,0.3941552647419872,9.970350843029654e-05,0.0009970350843029885,0.00033237190358371694,0.39460841904893124
FedProx,4096,2,80,1,80,0.3938078479580259,80,0.99,0.38986976947844565,59,0.3902095703056432,21,70,80,11,11,True,,0.39326469079370746,0.00011785596583683087,0.0011785596583682723,0.00039298190631673014,0.3938078479580259
FedProx,4096,3,80,1,80,0.39395045913919297,80,0.99,0.39001095454780105,55,0.39006107590966566,25,70,80,11,11,True,,0.39344892064813364,0.00011603455416032236,0.0011603455416032138,0.0003900081469441193,0.39395045913919297
FedProx,4096,4,80,1,80,0.400765498960334,80,0.99,0.3967578439707306,48,0.396997988657264,32,70,80,11,11,True,,0.40051138194756086,5.3267385096226355e-05,0.0005326738509622841,0.00017699754572377728,0.400765498960334
FedProx,4096,5,80,1,80,0.38817340481279516,80,0.99,0.3842916707646672,62,0.3844499979995834,18,70,80,11,11,True,,0.38756001220128344,0.0001486446726716946,0.001486446726716939,0.0005024640240544974,0.38817340481279516
FedProx,8192,1,29,1,80,0.39197258534660284,80,0.99,0.38805285949313684,60,0.38888865700844477,20,70,80,11,11,True,,0.391477357827066,0.00010985637959080436,0.0010985637959080585,0.0003658851987483391,0.39197258534660284
FedProx,8192,2,29,1,80,0.39348757220042296,80,0.99,0.3895526964784187,60,0.3900009701947916,20,70,80,11,11,True,,0.39301570863794955,0.00010309028780203671,0.0010309028780203233,0.00034332696202335076,0.39348757220042296
FedProx,8192,3,29,1,80,0.3892687966268304,80,0.99,0.3853761086605621,64,0.3854059556173552,16,70,80,11,11,True,,0.38854249126959234,0.00016393707199226823,0.0016393707199227059,0.0005482785173884048,0.3892687966268304
FedProx,8192,4,29,1,80,0.38972481399943465,80,0.99,0.3858275658594403,60,0.3859085544658786,20,70,80,11,11,True,,0.3892948667325001,8.977047090017579e-05,0.0008977047090017454,0.0002984723534072967,0.38972481399943465
FedProx,8192,5,41,1,80,0.39176232759371343,80,0.99,0.3878447043177763,61,0.3880699460637355,19,70,80,11,11,True,,0.3912808822969433,0.00010151457010091701,0.0010151457010091902,0.00033926651611762576,0.39176232759371343
FedProx,16384,1,18,1,80,0.39780049319119604,80,0.99,0.39382248825928406,60,0.39483117930815637,20,70,80,11,11,True,,0.3973452455482548,9.778318925626047e-05,0.0009778318925626195,0.0003248261497771977,0.39780049319119604
FedProx,16384,2,18,1,80,0.39568162361995324,80,0.99,0.3917248073837537,60,0.39244651428569854,20,70,80,11,11,True,,0.39517152382515247,0.00011638884611637699,0.0011638884611637756,0.0003896665824582966,0.39568162361995324
FedProx,16384,3,18,1,80,0.38702307817225573,80,0.99,0.3831528473905332,70,0.38548111486075154,10,70,80,11,11,True,,0.38631678037758443,0.00015023755791358773,0.0015023755791359061,0.0005008912838056498,0.38702307817225573
FedProx,16384,4,80,1,80,0.3989130321614607,79,0.99,0.39492390183984605,52,0.3949695501415362,28,70,80,11,11,True,,0.39862977402159755,7.452438260494979e-05,0.0007452438260495131,0.00025592706850087693,0.39890593157712473
FedProx,16384,5,18,1,80,0.3955649760250381,80,0.99,0.3916093262647877,60,0.3920476841365812,20,70,80,11,11,True,,0.3950287125075321,0.00011876498774801167,0.0011876498774801014,0.00039724363552510523,0.3955649760250381
