strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
SCAFFOLD,4096,4,80,1,80,0.3850649858965608,80,0.99,0.3812143360375952,52,0.38138615498979783,28,70,80,11,11,True,,0.384580248451245,9.959205510405232e-05,0.00099592055104053,0.0003305078208436085,0.3850649858965608
SCAFFOLD,4096,5,80,1,80,0.38553071578708165,80,0.99,0.38167540862921084,43,0.38173296930349954,37,70,80,11,11,True,,0.3852424921468607,6.191382817373784e-05,0.0006191382817374302,0.00020570729323953055,0.38553071578708165
SCAFFOLD,8192,1,18,1,80,0.3870746037231544,80,0.99,0.38320385768592286,60,0.38374512607061856,20,70,80,11,11,True,,0.38634717406415575,0.0001476245059007385,0.0014762450590073972,0.0004897896620094139,0.3870746037231544
SCAFFOLD,8192,2,80,1,80,0.38929487325352424,80,0.99,0.385401924520989,65,0.3855923894102028,15,70,80,11,11,True,,0.38816961138610845,0.00023163495285271655,0.002316349528527162,0.0007685317402555536,0.38929487325352424
SCAFFOLD,8192,3,80,1,80,0.3853494921025985,80,0.99,0.3814959971815725,62,0.3815653587042231,18,70,80,11,11,True,,0.3844512829702612,0.00018999552906892893,0.0018999552906892592,0.0006309042620440108,0.3853494921025985
SCAFFOLD,8192,4,80,1,80,0.3867667600652738,80,0.99,0.382899092464621,62,0.38289967126605273,18,70,80,11,11,True,,0.38576820395263367,0.00020150236852962242,0.002015023685296269,0.00066851461086177,0.3867667600652738
SCAFFOLD,8192,5,80,1,80,0.38529182789272115,80,0.99,0.38143890961379395,66,0.3816488794510721,14,70,80,11,11,True,,0.38408600667062776,0.00025159975767271935,0.0025159975767272136,0.0008350690061383338,0.38529182789272115
SCAFFOLD,16384,1,18,1,80,0.39099221213716134,80,0.99,0.38708229001578975,70,0.38765146614792056,10,70,80,11,11,True,,0.3893794131259824,0.0003332620718284975,0.0033326207182849954,0.001105862574389043,0.39099221213716134
SCAFFOLD,16384,2,18,1,80,0.3926859703571526,80,0.99,0.38875911065358104,60,0.38967074042608674,20,70,80,11,11,True,,0.39198703823614783,0.00014087783069389187,0.0014087783069389181,0.0004672755467742519,0.3926859703571526
SCAFFOLD,16384,3,18,1,80,0.38573730611896934,80,0.99,0.3818799330577796,70,0.3837867000524651,10,70,80,11,11,True,,0.3847888464914612,0.00019657623714796612,0.0019657623714796624,0.0006521765091264566,0.38573730611896934
SCAFFOLD,16384,4,18,1,80,0.39376607750826553,80,0.99,0.38982841673318286,70,0.3910897147985431,10,70,80,11,11,True,,0.39246059856210336,0.00026310709698155755,0.0026310709698155743,0.000873004933499523,0.39376607750826553
SCAFFOLD,16384,5,18,1,80,0.387294646451084,80,0.99,0.38342169998657316,70,0.38529526230254163,10,70,80,11,11,True,,0.38632083709096593,0.00019807561233896402,0.0019807561233896043,0.0006573107697269407,0.387294646451084
